kecamatan,Jumlah Curah Hujan Januari,Jumlah Curah Hujan Februari,Jumlah Curah Hujan Maret,Jumlah Curah Hujan April,Jumlah Curah Hujan Mei,Jumlah Curah Hujan Juni,Jumlah Curah Hujan Juli,Jumlah Curah Hujan Agustus,Jumlah Curah Hujan September,Jumlah Curah Hujan Oktober,Jumlah Curah Hujan November,Jumlah Curah Hujan Desember,Januari Jumlah Hari Hujan (hari),Februari Jumlah Hari Hujan (hari),Maret Jumlah Hari Hujan (hari),April Jumlah Hari Hujan (hari),Mei Jumlah Hari Hujan (hari),Juni Jumlah Hari Hujan (hari),Juli Jumlah Hari Hujan (hari),Agustus Jumlah Hari Hujan (hari),September Jumlah Hari Hujan (hari),Oktober Jumlah Hari Hujan (hari),November Jumlah Hari Hujan (hari),Desember Jumlah Hari Hujan (hari),SDM Laki-laki,SDM Perempuan,Tingkat Pendidikan SD Laki-laki,Tingkat Pendidikan SD Perempuan,Tingkat Pendidikan SMP Laki-laki,Tingkat Pendidikan SMP Perempuan,Tingkat Pendidikan SMA Laki-laki,Tingkat Pendidikan SMA Perempuan,Tingkat Pendidikan D1 Laki-laki,Tingkat Pendidikan D1 Perempuan,Tingkat Pendidikan D2 Laki-laki,Tingkat Pendidikan D2 Perempuan,Tingkat Pendidikan D3 Laki-laki,Tingkat Pendidikan D3 Perempuan,Tingkat Pendidikan D4 Laki-laki,Tingkat Pendidikan D4 Perempuan,Tingkat Pendidikan S1 Laki-laki,Tingkat Pendidikan S1 Perempuan,Tingkat Pendidikan S2 Laki-laki,Tingkat Pendidikan S2 Perempuan,Tingkat Pendidikan S3 Laki-laki,Tingkat Pendidikan S3 Perempuan,Jumlah Penduduk Laki-laki 0-4 Tahun,Jumlah Penduduk Perempuan 0-4 Tahun,Jumlah Penduduk Laki-laki 5-9 Tahun,Jumlah Penduduk Perempuan 5-9 Tahun,Jumlah Penduduk Laki-laki 10-14 Tahun,Jumlah Penduduk Perempuan 10-14 Tahun,Jumlah Penduduk Laki-laki 15-19 Tahun,Jumlah Penduduk Perempuan 15-19 Tahun,Jumlah Penduduk Laki-laki 20-24 Tahun,Jumlah Penduduk Perempuan 20-24 Tahun,Jumlah Penduduk Laki-laki 25-29 Tahun,Jumlah Penduduk Perempuan 25-29 Tahun,Jumlah Penduduk Laki-laki 30-44 Tahun,Jumlah Penduduk Perempuan 30-34 Tahun,Jumlah Penduduk Laki-laki35-39 Tahun,Jumlah Penduduk Perempuan 35-39 Tahun,Jumlah Penduduk Laki-laki 40-44 Tahun,Jumlah Penduduk Perempuan 40-44 Tahun,Jumlah Penduduk Laki-laki 45-49 Tahun,Jumlah Penduduk Perempuan 45-49 Tahun,Jumlah Penduduk Laki-laki 50-54 Tahun,Jumlah Penduduk Perempuan 50-54 Tahun,Jumlah Penduduk Laki-laki 55-59 Tahun,Jumlah Penduduk Perempuan 55-59 Tahun,Jumlah Penduduk Laki-laki 60-64 Tahun,Jumlah Penduduk Perempuan 60-64 Tahun,Jumlah Penduduk Laki-laki 65-69 Tahun,Jumlah Penduduk Perempuan 65-69 Tahun,Jumlah Penduduk Laki-laki 70-74 Tahun,Jumlah Penduduk Perempuan 70-74 Tahun,Jumlah Penduduk Laki-laki 75++ Tahun,Jumlah Penduduk Perempuan 75++ Tahun ,Tingkat Pendidikan SD,Tingkat Pendidikan MI,Tingkat Pendidikan SMP,Tingkat Pendidikan MTS,Tingkat Pendidikan SMA,Tingkat Pendidikan SMK,Tingkat Pendidikan MA,Tingkat Pendidikan Akademi/PT
Kibin,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,20,1,,,,,7,,,,,,,,,,12,1,1,0,,,2926,2673,3082,2869,2443,2357,1922,1878,2472,2372,2839,2981,3169,3093,2861,2801,2352,2653,1945,1845,1381,1274,968,886,636,718,453,445,264,306,198,322,9,1,7,1,1,4,1,0
Carenang,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,12,6,,,,,9,4,,,,,,,,,2,2,1,,,,1910,1587,2029,1888,1646,1539,1346,1329,1822,1857,1906,1668,1904,1865,1749,1788,1489,1592,1197,1263,1066,1119,799,861,698,745,445,501,309,367,275,443,,,,,,,,
Binuang,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,12,,,,,,2,,,,,,,,,,8,,2,,,,1478,1370,1628,1489,1352,1318,1258,1248,1493,1488,1641,1470,1620,1632,1453,1510,1201,1156,982,967,766,739,555,618,483,513,284,292,211,247,203,312,12,5,7,7,3,3,4,0
Petir,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,13,4,,,1,,5,,,,,,,,,1,6,2,1,1,,,2889,2631,3280,2948,3024,2788,2478,2486,3132,2987,3009,2695,2852,2649,2825,2469,2197,2099,1942,2005,1653,1631,1258,1224,885,950,627,594,330,399,408,559,15,6,4,7,5,2,4,0
Tunjung Teja,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,3,2,,,,,1,2,,,,,,,,,,,2,,,,2095,2051,2369,2354,2204,2092,1892,1862,2520,2288,2505,2173,2108,1982,2057,1838,1609,1514,1518,1533,1208,1180,945,920,718,704,455,457,293,348,343,439,9,3,6,7,1,3,2,0
Baros,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,14,6,1,,1,,7,1,,,,,,,,,2,2,3,2,,,2650,2538,3252,3108,3121,2978,2366,2381,3066,2883,2965,2576,2636,2387,2656,2174,2148,1929,1849,1754,1644,1530,1226,1179,987,876,593,517,335,352,369,419,14,3,7,4,3,1,3,0
Cikeusal,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,20,4,,,,,11,2,,,,,,,,,8,2,1,,,,3498,3261,3983,3716,3744,3494,2980,3043,3838,3754,3744,3514,3514,3266,3266,3238,2885,2928,2498,2403,2172,2282,1628,1704,1192,1314,784,804,483,774,481,608,17,3,8,7,3,4,4,0
Pamarayan,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,12,3,,,,,3,,,,,,,,,,6,2,3,1,,,2823,2559,2986,2908,2838,2631,2449,2435,3213,3022,3255,2897,2938,2660,2631,2407,2141,1998,1827,1759,1566,1495,1162,1099,911,816,553,526,329,381,395,466,10,7,6,6,1,6,2,0
Kopo,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,17,1,,,,,13,,,,,,,,,,4,1,,,,,2403,2175,2862,2617,2743,2537,2243,2351,2909,2770,2859,2452,2693,2275,2446,2211,1932,1824,1658,1563,1439,1324,1027,1048,823,831,541,511,312,379,331,399,10,7,5,8,5,5,4,0
Jawilan,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,22,2,,,,,8,1,,,,,,,,,14,1,,,,,2714,2571,3159,3011,2937,2783,2529,2375,3054,3050,3150,2973,3127,2775,2848,2515,2244,2089,1888,1833,1568,1419,1173,1024,835,739,468,477,311,366,321,442,9,9,8,7,1,5,4,1
Ciomas,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,20,1,,,,,,,,,,,,,,,19,1,1,,,,1910,1806,2344,2207,2168,2122,1713,1778,2303,2152,2146,1853,1982,1699,1917,1692,1611,1465,1351,1231,1190,1198,928,810,673,659,421,402,228,244,247,314,11,0,4,6,1,1,4,0
Pabuaran,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,12,3,,,,,4,,,,,,,,,,8,1,2,,,,1918,1978,2275,2174,2092,1964,1693,1758,2284,2250,2324,2054,2177,1952,2022,1639,1547,1471,1457,1370,1204,1143,943,830,631,607,387,391,205,243,266,305,8,3,3,6,5,2,3,1
Padarincang,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,13,1,,,,,5,,,,,,,,,,7,1,1,,,,1978,2851,2174,3693,1964,3425,1758,2603,2250,3571,2054,3528,1952,3281,1639,3040,1471,2397,1370,2129,1143,1874,830,1587,607,1123,391,644,243,376,305,469,14,4,9,7,1,3,4,0
Anyar,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,13,3,,,,,6,1,,,,,,,,,3,1,4,1,,,2393,2213,2804,2636,2734,2621,2280,2213,2622,2059,2557,2399,2205,2081,2275,2305,2252,2290,2160,2229,1909,1892,1591,1433,1138,992,640,628,382,405,343,383,12,3,5,5,4,4,2,0
Cinangka,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,11,4,,,,,3,,,,,,,,,,7,2,1,1,,,2218,2134,2928,2813,2769,2518,2224,2165,2772,2541,2857,2446,2643,2261,2541,2428,2390,2387,2072,2212,1789,1869,1475,1466,1216,1053,730,644,397,441,361,423,14,3,8,8,6,3,4,0
Mancak,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,16,,,,,,3,,,,,,,,,,10,,2,,,,2128,1891,2488,2328,2448,2235,2015,1802,2422,2346,2449,2095,2226,1888,2039,1922,1888,1770,1678,1639,1559,1438,1155,1060,894,830,521,498,341,353,302,346,14,3,4,5,2,,2,
Gunung Sari,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,14,2,,,1,,7,,,,,,,,,,5,1,1,1,,,1171,1105,1256,1214,1103,1115,885,921,1271,1225,1235,1102,1191,998,1005,927,839,814,817,732,614,651,508,451,376,311,196,178,86,118,123,127,7,2,3,3,2,1,1,0
Bandung,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.1,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,21,7,,,,,8,4,,,,,,,,,11,3,2,,,,1690,1578,1944,1808,1624,1621,1297,1486,1768,1648,1937,1958,2070,1944,1750,1570,1333,1411,1180,1178,1066,955,761,735,613,565,329,359,243,239,236,312,8,0,5,0,2,1,0,0
Lebak Wangi,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,14,2,,,,,1,,,,,,,,,,13,2,,,,,1615,1544,1969,1813,1512,1481,1278,1360,1985,1877,2034,1910,1967,1705,1643,1624,1349,1582,1222,1301,1091,1057,819,866,664,756,485,463,271,298,187,241,10,2,5,6,2,4,2,0
